name,type,primary_key_type,coding_name,is_sparse_coding,is_multi_select,referenced_entity_field,relationship,folder_path,title,units,description,sheet
ACUITY,string,,SNOMED_ECDS_coding,yes,,,,Our Future Health Linked NHS HES ECDS Data,ACUITY,,EMERGENCY CARE ACUITY (SNOMED CT) is the SNOMED CT® concept ID which is used to indicate the acuity of the PATIENT's condition on the EMERGENCY CARE Initial Assessment Timestamp.,linked_nhse_health_records
ARRIVAL_DATE,date,,,,,,,Our Future Health Linked NHS HES ECDS Data,ARRIVAL_DATE,,An Emergency Care Arrival Date may be either: • the Arrival Date At Emergency Care Department or • the Ambulatory Emergency Care Arrival Date.  An Arrival Date At Emergency Care Department is the date the PATIENT self presented at the Emergency Care Department or arrived in an Ambulance at the Emergency Care Department.  V4 - Mapped from EMERGENCY CARE ACTIVITY START DATE AND TIME. ,linked_nhse_health_records
ARRIVAL_MODE,string,,SNOMED_ECDS_coding,yes,,,,Our Future Health Linked NHS HES ECDS Data,ARRIVAL_MODE,,EMERGENCY CARE ARRIVAL MODE (SNOMED CT) is the SNOMED CT concept ID which is used to identify the transport mode by which the PATIENT arrived at the EMERGENCY CARE Service.,linked_nhse_health_records
ARRIVAL_TIME,string,,,,,,,Our Future Health Linked NHS HES ECDS Data,ARRIVAL_TIME,,The Emergency Care Arrival Time may be either: • the Arrival Time At Emergency Care Department or • the Ambulatory Emergency Care Arrival Time.  An Arrival Time At Emergency Care Department is the time the PATIENT self presented at the Emergency Care Department or arrived in an Ambulance at the Emergency Care Department.  V4 - Mapped from EMERGENCY CARE ACTIVITY START DATE AND TIME,linked_nhse_health_records
ASSESSMENT_DATE,date,,,,,,,Our Future Health Linked NHS HES ECDS Data,ASSESSMENT_DATE,,"An Emergency Care Initial Assessment Date is the date that the PATIENT is first assessed in the Emergency Care Department.  An initial assessment would include: • the taking of a brief PATIENT medical history • pain assessment • early warning scores (including vital signs).  The assessment should be conducted by a CARE PROFESSIONAL who has received appropriate training.  Note that for piloting purposes only, an Emergency Care Initial Assessment Date may also be the Ambulatory Emergency Care Initial Assessment Date.  V4 - Mapped from EMERGENCY CARE INITIAL ASSESSMENT TIMESTAMP",linked_nhse_health_records
ASSESSMENT_TIME,string,,,,,,,Our Future Health Linked NHS HES ECDS Data,ASSESSMENT_TIME,,"An Emergency Care Initial Assessment Time is the time that the PATIENT is first assessed in the Emergency Care Department. An initial assessment would include: • the taking of a brief PATIENT medical history • pain assessment • early warning scores (including vital signs).  The assessment should be conducted by a CARE PROFESSIONAL who has received appropriate training.  Note that for piloting purposes only, an Emergency Care Initial Assessment Time may also be the Ambulatory Emergency Care Initial Assessment Time.  V4 - Mapped from EMERGENCY CARE INITIAL ASSESSMENT TIMESTAMP.",linked_nhse_health_records
ATTENDANCE_CATEGORY,string,,ATTENDANCE_CATEGORY_ecds_coding,,,,,Our Future Health Linked NHS HES ECDS Data,ATTENDANCE_CATEGORY,,The category of Emergency Care Attendance or Same Day Emergency Care Attendance,linked_nhse_health_records
ATTENDANCE_SOURCE,string,,SNOMED_ECDS_coding,yes,,,,Our Future Health Linked NHS HES ECDS Data,ATTENDANCE_SOURCE,,EMERGENCY CARE ATTENDANCE SOURCE (SNOMED CT) is the SNOMED CT® concept ID which is used to indicate the source of an EMERGENCY CARE Service.,linked_nhse_health_records
CHIEF_COMPLAINT,string,,SNOMED_ECDS_coding,yes,,,,Our Future Health Linked NHS HES ECDS Data,CHIEF_COMPLAINT,,EMERGENCY CARE CHIEF COMPLAINT (SNOMED CT) is the SNOMED CT concept ID which is used to indicate the nature of the PATIENT’s chief complaint as assessed by the CARE PROFESSIONAL first assessing the PATIENT.,linked_nhse_health_records
CODE_CLEANING_APPLIED,string,,CODE_CLEANING_APPLIED_ecds_coding,,,,,Our Future Health Linked NHS HES ECDS Data,CODE_CLEANING_APPLIED,,Signifies whether relevant clinical codes in the record have been cleaned before submission to grouping.,linked_nhse_health_records
