name,type,primary_key_type,coding_name,is_sparse_coding,is_multi_select,referenced_entity_field,relationship,folder_path,title,units,description,sheet
AEARRIVALMODE,string,,AEARRIVALMODE_ae_coding,,,,,Our Future Health Linked NHS HES AE Data,AEARRIVALMODE,,Arrival Mode,linked_nhse_health_records
AEATTENDCAT,string,,AEATTENDCAT_ae_coding,,,,,Our Future Health Linked NHS HES AE Data,AEATTENDCAT,,Attendance Category,linked_nhse_health_records
AEATTENDDISP,string,,AEATTENDDISP_ae_coding,,,,,Our Future Health Linked NHS HES AE Data,AEATTENDDISP,,Attendance Disposal,linked_nhse_health_records
AEDEPTTYPE,string,,AEDEPTTYPE_ae_coding,,,,,Our Future Health Linked NHS HES AE Data,AEDEPTTYPE,,Department Type,linked_nhse_health_records
AEKEY,string,,,,,,,Our Future Health Linked NHS HES AE Data,AEKEY,,HES Record Identifier,linked_nhse_health_records
AEREFSOURCE,string,,AEREFSOURCE_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,AEREFSOURCE,,Source of Referral For A&E,linked_nhse_health_records
ARRIVALDATE,date,,,,,,,Our Future Health Linked NHS HES AE Data,ARRIVALDATE,,Arrival Date,linked_nhse_health_records
ARRIVALTIME,string,,,,,,,Our Future Health Linked NHS HES AE Data,ARRIVALTIME,,Arrival Time,linked_nhse_health_records
CONCLTIME,string,,CONCLTIME_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,CONCLTIME,,Conclusion Time,linked_nhse_health_records
DEPTIME,string,,DEPTIME_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DEPTIME,,Departure Time,linked_nhse_health_records
DIAGA_01,string,,DIAGA_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGA_01,,Diagnosis Code - Anatomical Area,linked_nhse_health_records
DIAGA_02,string,,DIAGA_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGA_02,,Diagnosis Code - Anatomical Area,linked_nhse_health_records
DIAGA_03,string,,DIAGA_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGA_03,,Diagnosis Code - Anatomical Area,linked_nhse_health_records
DIAGA_04,string,,DIAGA_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGA_04,,Diagnosis Code - Anatomical Area,linked_nhse_health_records
DIAGA_05,string,,DIAGA_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGA_05,,Diagnosis Code - Anatomical Area,linked_nhse_health_records
DIAGA_06,string,,DIAGA_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGA_06,,Diagnosis Code - Anatomical Area,linked_nhse_health_records
DIAGA_07,string,,DIAGA_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGA_07,,Diagnosis Code - Anatomical Area,linked_nhse_health_records
DIAGA_08,string,,DIAGA_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGA_08,,Diagnosis Code - Anatomical Area,linked_nhse_health_records
DIAGA_09,string,,DIAGA_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGA_09,,Diagnosis Code - Anatomical Area,linked_nhse_health_records
DIAGA_10,string,,DIAGA_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGA_10,,Diagnosis Code - Anatomical Area,linked_nhse_health_records
DIAGA_11,string,,DIAGA_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGA_11,,Diagnosis Code - Anatomical Area,linked_nhse_health_records
DIAGA_12,string,,DIAGA_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGA_12,,Diagnosis Code - Anatomical Area,linked_nhse_health_records
DIAGSCHEME,string,,DIAGSCHEME_ae_coding,,,,,Our Future Health Linked NHS HES AE Data,DIAGSCHEME,,Diagnosis Scheme in Use,linked_nhse_health_records
DIAGS_01,string,,DIAGS_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGS_01,,Diagnosis Code - Anatomical Side,linked_nhse_health_records
DIAGS_02,string,,DIAGS_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGS_02,,Diagnosis Code - Anatomical Side,linked_nhse_health_records
DIAGS_03,string,,DIAGS_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGS_03,,Diagnosis Code - Anatomical Side,linked_nhse_health_records
DIAGS_04,string,,DIAGS_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGS_04,,Diagnosis Code - Anatomical Side,linked_nhse_health_records
DIAGS_05,string,,DIAGS_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGS_05,,Diagnosis Code - Anatomical Side,linked_nhse_health_records
DIAGS_06,string,,DIAGS_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGS_06,,Diagnosis Code - Anatomical Side,linked_nhse_health_records
DIAGS_07,string,,DIAGS_ae_coding,yes,,,,Our Future Health Linked NHS HES AE Data,DIAGS_07,,Diagnosis Code - Anatomical Side,linked_nhse_health_records
