name,type,primary_key_type,coding_name,is_sparse_coding,is_multi_select,referenced_entity_field,relationship,folder_path,title,units,description,sheet
ACSCFLAG,integer,,ACSCFLAG_apc_coding,,,,,Our Future Health Linked NHS HES APC Data,ACSCFLAG,,Ambulatory Care Sensitive Condition Flag,linked_nhse_health_records
ADMIDATE,date,,ADMIDATE_apc_coding,yes,,,,Our Future Health Linked NHS HES APC Data,ADMIDATE,,Admission Date (Hospital Provider Spell),linked_nhse_health_records
ADMIMETH,string,,ADMIMETH_apc_coding,,,,,Our Future Health Linked NHS HES APC Data,ADMIMETH,,Method of Admission,linked_nhse_health_records
ADMINCAT,string,,ADMINCAT_apc_coding,,,,,Our Future Health Linked NHS HES APC Data,ADMINCAT,,Administrative Category Code on Admission,linked_nhse_health_records
ADMISORC,string,,ADMISORC_apc_coding,,,,,Our Future Health Linked NHS HES APC Data,ADMISORC,,Source of Admission,linked_nhse_health_records
AEKEY,string,,,,,,,Our Future Health Linked NHS HES APC Data,AEKEY,,A&E Record Identifier,linked_nhse_health_records
BEDYEAR,string,,BEDYEAR_apc_coding,yes,,,,Our Future Health Linked NHS HES APC Data,BEDYEAR,,Bed Days Within the Year,linked_nhse_health_records
CARERSI,string,,CARERSI_apc_coding,,,,,Our Future Health Linked NHS HES APC Data,CARERSI,,Carer Support Indicator,linked_nhse_health_records
CLASSPAT,string,,CLASSPAT_apc_coding,,,,,Our Future Health Linked NHS HES APC Data,CLASSPAT,,Patient Classification,linked_nhse_health_records
DIAG_4_01,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_01,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_02,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_02,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_03,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_03,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_04,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_04,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_05,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_05,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_06,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_06,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_07,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_07,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_08,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_08,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_09,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_09,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_10,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_10,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_11,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_11,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_12,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_12,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_13,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_13,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_14,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_14,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_15,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_15,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_16,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_16,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_17,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_17,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_18,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_18,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_19,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_19,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_20,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DIAG_4_20,,Diagnosis Code - 4 Character,linked_nhse_health_records
DISDATE,date,,DISDATE_apc_coding,yes,,,,Our Future Health Linked NHS HES APC Data,DISDATE,,Date of Discharge,linked_nhse_health_records
DISDEST,string,,DISDEST_apc_coding,,,,,Our Future Health Linked NHS HES APC Data,DISDEST,,Destination on Discharge,linked_nhse_health_records
