name,type,primary_key_type,coding_name,is_sparse_coding,is_multi_select,referenced_entity_field,relationship,folder_path,title,units,description,sheet
ADMINCAT,string,,ADMINCAT_op_coding,,,,,Our Future Health Linked NHS HES OP Data,ADMINCAT,,Administrative Category Code,linked_nhse_health_records
APPTDATE,date,,,,,,,Our Future Health Linked NHS HES OP Data,APPTDATE,,Appointment Date,linked_nhse_health_records
ATTENDED,string,,ATTENDED_op_coding,,,,,Our Future Health Linked NHS HES OP Data,ATTENDED,,Attendance Status,linked_nhse_health_records
ATTENDKEY,string,,,,,,,Our Future Health Linked NHS HES OP Data,ATTENDKEY,,HES Record Identifier,linked_nhse_health_records
DIAG_4_01,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES OP Data,DIAG_4_01,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_02,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES OP Data,DIAG_4_02,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_03,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES OP Data,DIAG_4_03,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_04,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES OP Data,DIAG_4_04,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_05,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES OP Data,DIAG_4_05,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_06,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES OP Data,DIAG_4_06,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_07,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES OP Data,DIAG_4_07,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_08,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES OP Data,DIAG_4_08,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_09,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES OP Data,DIAG_4_09,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_10,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES OP Data,DIAG_4_10,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_11,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES OP Data,DIAG_4_11,,Diagnosis Code - 4 Character,linked_nhse_health_records
DIAG_4_12,string,,ICD10_coding,yes,,,,Our Future Health Linked NHS HES OP Data,DIAG_4_12,,Diagnosis Code - 4 Character,linked_nhse_health_records
FIRSTATT,string,,FIRSTATT_op_coding,,,,,Our Future Health Linked NHS HES OP Data,FIRSTATT,,First Attendance,linked_nhse_health_records
IMD04_DECILE,string,,,,,,,Our Future Health Linked NHS HES OP Data,IMD04_DECILE,,IMD Decile Group,linked_nhse_health_records
MAINSPEF,string,,MAINSPEF_op_coding,,,,,Our Future Health Linked NHS HES OP Data,MAINSPEF,,Main Specialty,linked_nhse_health_records
OPERTN_01,string,,OPCS4_coding,yes,,,,Our Future Health Linked NHS HES OP Data,OPERTN_01,,Procedure Code,linked_nhse_health_records
OPERTN_02,string,,OPCS4_coding,yes,,,,Our Future Health Linked NHS HES OP Data,OPERTN_02,,Procedure Code,linked_nhse_health_records
OPERTN_03,string,,OPCS4_coding,yes,,,,Our Future Health Linked NHS HES OP Data,OPERTN_03,,Procedure Code,linked_nhse_health_records
OPERTN_04,string,,OPCS4_coding,yes,,,,Our Future Health Linked NHS HES OP Data,OPERTN_04,,Procedure Code,linked_nhse_health_records
