name,type,primary_key_type,coding_name,is_sparse_coding,is_multi_select,referenced_entity_field,relationship,folder_path,title,units,description,sheet
BSAPrescriptionID,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,BSAPrescriptionID,,NHS Business Services Authority identification number for a prescription (can be used to identify an item dispensed when used with 'prescription item identification number'),linked_nhse_health_records
ChargeStatus,string,,ChargeStatus_meds_coding,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,ChargeStatus,,Charging or exemption status,linked_nhse_health_records
CostCentreODSCode_OFH,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,CostCentreODSCode_OFH,,"Code for the organisation that issued the prescription, as taken from the Organisation Data Service (Pseudonymised by OFH)",linked_nhse_health_records
CostCentreSubType,string,,CostCentreSubType_meds_coding,yes,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,CostCentreSubType,,Sub-type of prescribing organisation,linked_nhse_health_records
CostCentreType,integer,,CostCentreType_meds_coding,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,CostCentreType,,Type of prescribing organisation,linked_nhse_health_records
DispensedPharmacyType,integer,,DispensedPharmacyType_meds_coding,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,DispensedPharmacyType,,Type of dispenser,linked_nhse_health_records
ItemActualCost,float,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,ItemActualCost,,Actual cost paid for the dispensed medicine (national average discount for the month+out of pocket+consumables+container allowance),linked_nhse_health_records
ItemID,integer,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,ItemID,,NHS Business Services Authority identification number for an item on a prescription (can be used to identify an item dispensed when used with 'prescription identification number'),linked_nhse_health_records
ItemNIC,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,ItemNIC,,The Net Ingredient Cost of the medicine ,linked_nhse_health_records
MaternityExemptionFlag,integer,,MaternityExemptionFlag_meds_coding,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,MaternityExemptionFlag,,"Indicator of whether or not the patient is pregnant, derived from maternity exemption. Data is limited because maternity exemption does not start at the beginning of pregnancy and it continues for 12 months after due date or birth",linked_nhse_health_records
OutOfHoursIndicator,integer,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,OutOfHoursIndicator,,Whether the prescription was Out of Hours,linked_nhse_health_records
PID,string,,,,,participant:PID,many_to_one,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PID,,Participant ID,linked_nhse_health_records
PaidBNFCode,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidBNFCode,,"BNF code of the medicines dispensed, as reimbursed by NHSBSA",linked_nhse_health_records
PaidBNFName,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidBNFName,,"BNF name of the medicine dispensed, as reimbursed by NHSBSA",linked_nhse_health_records
PaidDissallowedIndicator,string,,PaidDissallowedIndicator_meds_coding,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidDissallowedIndicator,,Indicator showing whether or not the item was disallowed by NHSBSA i.e. dispensed but not reimbursed,linked_nhse_health_records
PaidDrugStrength,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidDrugStrength,,"Strength of the medicine dispensed, as reimbursed by NHSBSA",linked_nhse_health_records
PaidFlavourIndicator,string,,PaidFlavourIndicator_meds_coding,yes,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidFlavourIndicator,,"Flavour of medicine dispensed, as reimbursed by NHSBSA",linked_nhse_health_records
PaidFormulation,string,,PaidFormulation_meds_coding,yes,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidFormulation,,"Formulation of the medicine dispensed, as reimbursed by NHSBSA",linked_nhse_health_records
PaidIndicator,string,,PaidIndicator_meds_coding,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidIndicator,,Valid NHS prescription that NHS BSA reimbursed,linked_nhse_health_records
PaidQuantity,integer,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidQuantity,,"Quantity of medicine dispensed, as reimbursed by NHSABSA",linked_nhse_health_records
PaidSupplierName,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaidSupplierName,,"Name of the supplier of the medicine or appliance dispensed, as reimbursed by NHSBSA",linked_nhse_health_records
PaiddmdCode,string,,SNOMED_PRIMCARE_MEDS_coding,yes,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PaiddmdCode,,"dm+d code of the medicine or appliance dispensed, as reimbursed by NHSBSA",linked_nhse_health_records
PrescribedBNFCode,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PrescribedBNFCode,,British National Formulary (BNF) code of the medicine prescribed,linked_nhse_health_records
PrescribedBNFName,string,,,,,,,Our Future Health Linked NHS Medicines Dispensed in Primary Care,PrescribedBNFName,,The name of the medicine/device,linked_nhse_health_records
