name,type,primary_key_type,coding_name,is_sparse_coding,is_multi_select,referenced_entity_field,relationship,folder_path,title,units,description,sheet
ID,string,local,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),ID,,Row ID,poct_lipid_profile
PID,string,,,,,participant:PID,many_to_one,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),PID,,Participant ID,poct_lipid_profile
APPOINTMENT_VERSION,string,,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),APPOINTMENT_VERSION,,Appointment Version,poct_lipid_profile
APPOINTMENT_DATETIME,datetime,,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),APPOINTMENT_DATETIME,,Appointment Date and Time. Time is rounded to the nearest hour,poct_lipid_profile
FIRST_READING_SKIPPED,integer,,FIRST_READING_SKIPPED,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),FIRST_READING_SKIPPED,,Skipped the first set of POCT lipid measurements,poct_lipid_profile
FIRST_READING_SKIPPED_REASON,integer,,FIRST_READING_SKIPPED_REASON,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),FIRST_READING_SKIPPED_REASON,,Reason for skipping the first set of POCT lipid measurements,poct_lipid_profile
TC_FIRST_READING,float,,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),TC_FIRST_READING,mmol/L,First reading for Total Cholesterol (TC) in millimoles per liter (mmol/L),poct_lipid_profile
HDL_FIRST_READING,float,,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),HDL_FIRST_READING,mmol/L,First reading for High-Density Lipoprotein (HDL) cholesterol in millimoles per liter (mmol/L),poct_lipid_profile
TG_FIRST_READING,float,,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),TG_FIRST_READING,mmol/L,First reading for Triglycerides (TG) in millimoles per liter (mmol/L),poct_lipid_profile
LDL_FIRST_READING,float,,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),LDL_FIRST_READING,mmol/L,Low-Density Lipoprotein (LDL) cholesterol derived from the first set of POCT lipid measurements in millimoles per liter (mmol/L),poct_lipid_profile
NONHDL_FIRST_READING,float,,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),NONHDL_FIRST_READING,mmol/L,Non-High-Density Lipoprotein (non-HDL) cholesterol derived from the first set of POCT lipid measurements in millimoles per liter (mmol/L),poct_lipid_profile
TC_HDL_RATIO_FIRST_READING,float,,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),TC_HDL_RATIO_FIRST_READING,,Total cholesterol (TC) to High-Density Lipoprotein (HDL) cholesterol ratio derived from the first set of POCT lipid measurements,poct_lipid_profile
SECOND_READING_SKIPPED,integer,,SECOND_READING_SKIPPED,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),SECOND_READING_SKIPPED,,Skipped the second set of POCT lipid measurements. Only participants with abnormal readings to the first measurements are offered a second measurement,poct_lipid_profile
TC_SECOND_READING,float,,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),TC_SECOND_READING,mmol/L,Second reading for Total Cholesterol (TC) in millimoles per liter (mmol/L),poct_lipid_profile
HDL_SECOND_READING,float,,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),HDL_SECOND_READING,mmol/L,Second reading for High-Density Lipoprotein (HDL) cholesterol in millimoles per liter (mmol/L),poct_lipid_profile
TG_SECOND_READING,float,,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),TG_SECOND_READING,mmol/L,Second reading for Triglycerides (TG) in millimoles per liter (mmol/L),poct_lipid_profile
LDL_SECOND_READING,float,,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),LDL_SECOND_READING,mmol/L,Low-Density Lipoprotein (LDL) cholesterol derived from the second set of POCT lipid measurements in millimoles per liter (mmol/L),poct_lipid_profile
NONHDL_SECOND_READING,float,,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),NONHDL_SECOND_READING,mmol/L,Non-High-Density Lipoprotein (non-HDL) cholesterol derived from the second set of POCT lipid measurements in millimoles per liter (mmol/L),poct_lipid_profile
TC_HDL_RATIO_SECOND_READING,float,,,,,,,Our Future Health Clinic Measurements > Point of Care Testing (Lipid Profile),TC_HDL_RATIO_SECOND_READING,,Total cholesterol (TC) to High-Density Lipoprotein (HDL) cholesterol ratio derived from the second set of POCT lipid measurements,poct_lipid_profile
