name,type,primary_key_type,coding_name,is_sparse_coding,is_multi_select,referenced_entity_field,relationship,folder_path,title,units,description,sheet
ID,string,local,,,,,,Our Future Health Questionnaire > Questionnaire Information,ID,,Unique identifier for questionnaire response,questionnaire
PID,string,,,,,participant:PID,many_to_one,Our Future Health Questionnaire > Questionnaire Information,PID,,Participant identifier,questionnaire
QUESTIONNAIRE_VERSION,string,,,,,,,Our Future Health Questionnaire > Questionnaire Information,QUESTIONNAIRE_VERSION,,Version of questionnaire completed,questionnaire
SUBMISSION_DATE,date,,,,,,,Our Future Health Questionnaire > Questionnaire Information,SUBMISSION_DATE,,Date questionnaire was submitted,questionnaire
DEMOG_HEIGHT_1_1,float,,,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_HEIGHT_1_1,,What is your height?,questionnaire
DEMOG_HEIGHT_ENTER_UNIT_1_1,integer,,DEMOG_HEIGHT_ENTER_UNIT_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_HEIGHT_ENTER_UNIT_1_1,,How would you prefer to enter your height?,questionnaire
DEMOG_LANGUAGE_1_1,integer,,DEMOG_LANGUAGE_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_LANGUAGE_1_1,,What is your main language?,questionnaire
DEMOG_RELATSH_CIVIL_CURR_1_1,integer,,DEMOG_RELATSH_CIVIL_CURR_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_RELATSH_CIVIL_CURR_1_1,,Who is your registered civil partnership to?,questionnaire
DEMOG_RELATSH_CIVIL_PREV_1_1,integer,,DEMOG_RELATSH_CIVIL_PREV_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_RELATSH_CIVIL_PREV_1_1,,Who was your registered civil partnership to?,questionnaire
DEMOG_RELATSH_MARR_CURR_1_1,integer,,DEMOG_RELATSH_MARR_CURR_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_RELATSH_MARR_CURR_1_1,,Who is your legal marriage to?,questionnaire
DEMOG_RELATSH_MARR_PREV_1_1,integer,,DEMOG_RELATSH_MARR_PREV_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_RELATSH_MARR_PREV_1_1,,Who was your legal marriage to?,questionnaire
DEMOG_RELATSH_STATUS_1_1,integer,,DEMOG_RELATSH_STATUS_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_RELATSH_STATUS_1_1,,What is your marital status?,questionnaire
DEMOG_RELATSH_STATUS_2_1,integer,,DEMOG_RELATSH_STATUS_2_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_RELATSH_STATUS_2_1,,What is your current legal marital or registered civil partnership status?,questionnaire
DEMOG_SEXUAL_ORIENTATION_1_1,integer,,DEMOG_SEXUAL_ORIENTATION_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_SEXUAL_ORIENTATION_1_1,,Which of the following best describes your sexual orientation?,questionnaire
DEMOG_TRANSGENDER_1_1,integer,,DEMOG_TRANSGENDER_1_1,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_TRANSGENDER_1_1,,Do you identify as trans or do you have a trans history?,questionnaire
DEMOG_WEIGHT_1_1,float,,,,,,,Our Future Health Questionnaire > 1 About you and your household,DEMOG_WEIGHT_1_1,,What is your weight?,questionnaire
